,ID,제품명,와이너리,종류,평점,가격,노트,노트2,상세
0,14549868,Castillo Ygay Gran Reserva Especial Blanco 1998,Marqués de Murrieta,White wine,4.6,64799,"oak, vanilla, caramel",,https://www.vivino.com/marques-de-murrieta-castillo-ygay-gran-reserva-especial-blanco/w/5177761?year=1998&price_id=14549868
1,2805027,Premiere Napa Valley Cabernet Sauvignon 2006,B Cellars,Red wine,4.6,72899,"vanilla, cedar, tobacco",,https://www.vivino.com/b-cellars-premiere-napa-valley-cabernet-sauvignon/w/1649800?year=2006&price_id=2805027
2,26920645,Pope 2015,Puriri Hills,Red wine,4.6,147835,"plum, black fruit, dark...",,https://www.vivino.com/puriri-hills-pope/w/1123953?year=2015&price_id=26920645
3,2754321,Torre Muga 2000,Muga,Red wine,4.6,109348,"oak, vanilla, tobacco",,https://www.vivino.com/muga-torre-muga/w/7494?year=2000&price_id=2754321
4,18967980,La Piu Belle 2011,Viña Vik Winery,Red wine,4.5,101248,"oak, chocolate, vanilla",,https://www.vivino.com/vina-vik-winery-la-piu-belle/w/5571323?year=2011&price_id=18967980
5,2754232,Amon-Ra Shiraz 2005,Glaetzer,Red wine,4.5,141748,"blackberry, blackcurran...",,https://www.vivino.com/glaetzer-amon-ra-shiraz/w/1160689?year=2005&price_id=2754232
6,2754206,Select Shiraz 2001,Saxenburg,Red wine,4.5,141748,"tobacco, oak, vanilla",,https://www.vivino.com/saxenburg-select-shiraz/w/1521195?year=2001&price_id=2754206
7,25002081,Bougainville Petite Sirah 2013,Santa Rita,Red wine,4.5,115828,"black fruit, blackberry...",,https://www.vivino.com/santa-rita-bougainville-petite-sirah/w/1982106?year=2013&price_id=25002081
8,2754503,Folly Syrah 2005,Montes,Red wine,4.5,129598,"blackberry, plum, black...",,https://www.vivino.com/montes-casablanca-valley-folly-syrah/w/71264?year=2005&price_id=2754503
9,34188163,X2 2020,Paraduxx,Red wine,4.5,142854,"oak, tobacco, baking sp...",,https://www.vivino.com/paraduxx-x2-napa-valley-red-wine/w/4233855?year=2020&price_id=34188163
10,2894972,Prado Enea Gran Reserva 1998,Muga,Red wine,4.5,76949,"oak, vanilla, tobacco",,https://www.vivino.com/muga-prado-enea-gran-reserva/w/1126125?year=1998&price_id=2894972
11,34370288,Ancestral 2015,Balbas,Red wine,4.5,120688,"oak, vanilla, tobacco",,https://www.vivino.com/balbas-ancestral-ribera-del-duero/w/8890662?year=2015&price_id=34370288
12,14650486,Zeus I 1998,Bisquertt Family Vineyards,Red wine,4.5,113398,,,https://www.vivino.com/bisquertt-zeus-i/w/93974?year=1998&price_id=14650486
13,29936543,Gigondas La Colline 2018,Domaine des Bosquets,Red wine,4.5,96201,,,https://www.vivino.com/bosquets-gigondas-la-colline/w/3887205?year=2018&price_id=29936543
14,10496214,Stone Cairn 2013,Andrew Januik,Red wine,4.5,89099,,,https://www.vivino.com/andrew-januir-stone-cairn/w/2243780?year=2013&price_id=10496214
15,24622997,Blood Creek 2014,Frenchmans Hill,Red wine,4.5,116710,,,https://www.vivino.com/frenchmans-hill-blood-creek/w/3830817?year=2014&price_id=24622997
16,2895284,Brunello di Montalcino 2000,Carpineto,Red wine,4.5,101248,,,https://www.vivino.com/carpineto-brunello-di-montalcino/w/6200?year=2000&price_id=2895284
17,29015847,Hercules 2014,Alpha Box & Dice,Red wine,4.5,130000,,,https://www.vivino.com/alpha-box-and-dice-hercules/w/3347194?year=2014&price_id=29015847
18,23467571,Chardonnay 2015,Teeter-Totter,White wine,4.5,130000,,,https://www.vivino.com/teeter-totter-chardonnay/w/4806486?year=2015&price_id=23467571
19,14550346,Stags Leap District Cabernet Sauvignon 2000,Cliff Lede,Red wine,4.4,138710,,,https://www.vivino.com/cliff-lede-vineyards-stags-leap-district-cabernet-sauvignon/w/1644035?year=2000&price_id=14550346
20,17633369,Cabernet Sauvignon 2015,Stags' Leap,Red wine,4.4,113398,,,https://www.vivino.com/stags-leap-napa-valley-cabernet-sauvignon/w/1136381?year=2015&price_id=17633369
21,31354625,Chateau Buena Vista Cabernet Sauvignon Napa Valley 2018,Buena Vista,Red wine,4.4,150000,,,https://www.vivino.com/buena-vista-winery-chateau-buena-vista-cabernet-sauvignon-napa-valley/w/5261?year=2018&price_id=31354625
22,2804967,Scharzhofberger Riesling Kabinett 2002,Egon Müller - Scharzhof,White wine,4.4,76949,,,https://www.vivino.com/egon-muller-scharzhof-scharzhofberger-riesling-kabinett/w/86685?year=2002&price_id=2804967
23,2894958,Tauleto Sangiovese 2001,Umberto Cesari,Red wine,4.4,85049,,,https://www.vivino.com/umberto-cesari-tauleto-sangiovese/w/78759?year=2001&price_id=2894958
24,14550164,Le Argille Cabernet di Cabernet 1947,47 Anno Domini,Red wine,4.4,89099,,,https://www.vivino.com/fortyseven-anno-domini-le-argille-cabernet-di-cabernet/w/4134168?year=1947&price_id=14550164
25,31354624,Chateau Buena Vista Cabernet Sauvignon Napa Valley 2017,Buena Vista,Red wine,4.4,150000,,,https://www.vivino.com/buena-vista-winery-chateau-buena-vista-cabernet-sauvignon-napa-valley/w/5261?year=2017&price_id=31354624
26,31354621,Chateau Buena Vista Cabernet Sauvignon Napa Valley 2014,Buena Vista,Red wine,4.4,150000,,,https://www.vivino.com/buena-vista-winery-chateau-buena-vista-cabernet-sauvignon-napa-valley/w/5261?year=2014&price_id=31354621
27,34079249,RKV Reserve Pinot Noir 2018,Amisfield,Red wine,4.4,99591,,,https://www.vivino.com/amisfield-rkv-reserve-pinot-noir/w/2001541?year=2018&price_id=34079249
28,2754226,Montes Alpha M Red 2006,Montes,Red wine,4.4,129598,,,https://www.vivino.com/montes-casablanca-valley-montes-alpha-m-red/w/1664699?year=2006&price_id=2754226
29,31168142,Bolgheri Superiore 2018,Grattamacco,Red wine,4.4,97525,,,https://www.vivino.com/grattamacco-bolgheri-superiore/w/87674?year=2018&price_id=31168142
30,29936540,Cepparello Red 2018,Isole e Olena,Red wine,4.4,132450,,,https://www.vivino.com/isole-e-olena-cepparello-red/w/77462?year=2018&price_id=29936540
31,3202460,Purple Angel 2006,Montes,Red wine,4.4,72899,,,https://www.vivino.com/montes-casablanca-valley-purple-angel/w/71274?year=2006&price_id=3202460
32,29936557,Chardonnay Toscana Collezione Privata 2019,Isole e Olena,White wine,4.4,83653,,,https://www.vivino.com/isole-e-olena-chardonnay-toscana-collezione-privata/w/1240491?year=2019&price_id=29936557
33,28090059,Postmark Rector Creek Vineyard Red 2019,Paraduxx,Red wine,4.4,120777,,,https://www.vivino.com/paraduxx-postmark-rector-creek-vineyard-red/w/1128409?year=2019&price_id=28090059
34,32336715,Postmark Rector Creek Vineyard Red 2020,Paraduxx,Red wine,4.4,114283,,,https://www.vivino.com/paraduxx-postmark-rector-creek-vineyard-red/w/1128409?year=2020&price_id=32336715
