,index,prod_name,prod_link,price,year,origin,volume,content
0,0,글렌알라키 12년,http://www.kajawine.kr/shop/item.php?it_id=1611889453,129000,12,스코틀랜드,700,46.0
1,1,글랜킨치 12년 ,http://www.kajawine.kr/shop/item.php?it_id=1420591931,125000,12,스코틀랜드-로우랜드,750,43.0
2,2,발베니 더블 우드 17년산  ,http://www.kajawine.kr/shop/item.php?it_id=9704147093,650000,17,영국,700,48.7
3,3,글렌고인 21년,http://www.kajawine.kr/shop/item.php?it_id=1614675343,550000,21,스코틀랜드-스페이사이드,750,43.0
4,4,로얄살루트25년  ,http://www.kajawine.kr/shop/item.php?it_id=1677383597,490000,25,영국,750,43.0
5,5,발베니 25년 싱글배럴,http://www.kajawine.kr/shop/item.php?it_id=1612151334,1000000,25,영국,700,47.8
6,6,조니워커 얼티메이트18년 선물세트  ,http://www.kajawine.kr/shop/item.php?it_id=1676456642,190000,18,영국,700,40.0
7,7,맥켈란 12년 트리플 캐스크,http://www.kajawine.kr/shop/item.php?it_id=1589084175,180000,12,영국,700,43.0
8,8,써에드워드STD  ,http://www.kajawine.kr/shop/item.php?it_id=5993434575,59000,12,프랑스,2000,40.0
9,9,더 글렌리벳 21년 ,http://www.kajawine.kr/shop/item.php?it_id=9349011271,650000,21,스코틀랜드-스페이사이드,700,43.0
10,10,글렌고인 15년,http://www.kajawine.kr/shop/item.php?it_id=5067093534,190000,15,스코틀랜드-스페이사이드,750,43.0
11,11,올드파12년 ,http://www.kajawine.kr/shop/item.php?it_id=1071113360,55000,12,영국,750,43.0
12,12,산토리 야마자끼 12년,http://www.kajawine.kr/shop/item.php?it_id=1595282276,450000,12,일본,700,43.0
13,13,글렌고인 18년  ,http://www.kajawine.kr/shop/item.php?it_id=5067562305,340000,18,스코틀랜드-스페이사이드,750,43.0
14,14,그레이트 킹 스트리트 아티스트 블랜드   ,http://www.kajawine.kr/shop/item.php?it_id=1441520023,96000,12,스코틀랜드,500,43.0
15,15,써에드워드 STD 크레들 ,http://www.kajawine.kr/shop/item.php?it_id=5993291536,150000,12,프랑스,4500,40.0
16,16,써에드워드STD,http://www.kajawine.kr/shop/item.php?it_id=1444444169,22000,12,프랑스,700,40.0
17,17,산토리 히비끼 하모니  ,http://www.kajawine.kr/shop/item.php?it_id=1612755392,199000,15,일본,700,43.0
18,18,틸링 싱글그레인  ,http://www.kajawine.kr/shop/item.php?it_id=1611890246,120000,12,영국,700,46.0
19,19,틸링 싱글몰트  ,http://www.kajawine.kr/shop/item.php?it_id=1633051267,149000,12,아일랜드,700,46.0
20,20,조니워커 블루라벨 캐스크에디션  55.8%,http://www.kajawine.kr/shop/item.php?it_id=1694177111,650000,25,영국,1000,55.8
21,21,"버팔로 트레이스 1, ",http://www.kajawine.kr/shop/item.php?it_id=1678155763,70000,12,미국 켄터키,700,45.0
22,22,존리 버번 위스키  ,http://www.kajawine.kr/shop/item.php?it_id=1675253485,30000,12,미국,700,40.0
23,23,존리 허니 위스키  ,http://www.kajawine.kr/shop/item.php?it_id=1674882791,30000,12,미국,700,30.0
24,24,킹 위스키 린,http://www.kajawine.kr/shop/item.php?it_id=1610498661,65000,12,일본,2700,37.0
25,25,써에드워드12년  ,http://www.kajawine.kr/shop/item.php?it_id=1674819542,59000,12,프랑스,700,40.0
26,26,글렌고인 12년  ,http://www.kajawine.kr/shop/item.php?it_id=1639709756,105000,12,스코틀랜드-스페이사이드,750,43.0
27,27,산토리 하쿠슈 12년 싱글 몰트,http://www.kajawine.kr/shop/item.php?it_id=1437805516,390000,12,일본,700,43.0
28,28,생솜 위스키  6월중순 입고,http://www.kajawine.kr/shop/item.php?it_id=1622084462,30000,12,태국,700,40.0
29,29,임페리얼 21년 ,http://www.kajawine.kr/shop/item.php?it_id=1431258753,142000,21,영국 스코틀랜드,450,40.0
30,30,제임슨 6년   ,http://www.kajawine.kr/shop/item.php?it_id=1622000947,14000,6,아일랜드 Ireland,200,40.0
31,31,하이랜드 파크 18년 이미지가 다릅니다,http://www.kajawine.kr/shop/item.php?it_id=1329736949,280000,18,영국,700,43.0
32,32,조니워커 블루 고스트 앤 레어 글레너리 로얄  ,http://www.kajawine.kr/shop/item.php?it_id=1692611154,520000,25,영국,1000,43.8
33,33,발베니 12년 싱글배럴 : ,http://www.kajawine.kr/shop/item.php?it_id=1613957603,250000,12,스코틀랜드,700,47.8
34,34,로얄살루트블랜디드 피티드 스카치위스키 :  ,http://www.kajawine.kr/shop/item.php?it_id=1698484879,400000,21,영국,750,43.0
35,35,로얄살루트블랜디드 그레인 스카치위스키 :  ,http://www.kajawine.kr/shop/item.php?it_id=1698482749,400000,21,영국,750,43.0
36,36,로얄살루트블랜디드 그레인 스카치위스키 더 스노우 폴로 에디션 : ,http://www.kajawine.kr/shop/item.php?it_id=1672143596,400000,21,영국,750,43.0
37,37,로얄살루트블랜디드 스카치위스키 :  ,http://www.kajawine.kr/shop/item.php?it_id=1672143041,400000,21,영국,750,43.0
38,38,커티샥STD   ,http://www.kajawine.kr/shop/item.php?it_id=1071809173,33000,12,영국,750,43.0
39,39,오크 크로스,http://www.kajawine.kr/shop/item.php?it_id=4723748613,140000,12,영국,700,43.0
40,40,발베니 21년 싱글배럴 ,http://www.kajawine.kr/shop/item.php?it_id=1683436724,1380000,21,영국,700,47.8
41,41,스파이스 트리,http://www.kajawine.kr/shop/item.php?it_id=1441454700,150000,12,영국,700,46.0
42,42,산토리 하쿠슈 DR  ,http://www.kajawine.kr/shop/item.php?it_id=1593243414,188000,15,일본,700,43.0
43,43,불렛 버번 프런티어위스키 ,http://www.kajawine.kr/shop/item.php?it_id=1592997872,85000,12,미국,700,45.0
44,44,칼라일 블랜디드 스카치 위스키 ,http://www.kajawine.kr/shop/item.php?it_id=1612137373,20000,12,스코틀랜드,700,40.0
45,45,부쉬밀 16년 싱글몰트  ,http://www.kajawine.kr/shop/item.php?it_id=1551418316,250000,16,아일랜드,700,40.0
46,46,템플턴 라이 6년,http://www.kajawine.kr/shop/item.php?it_id=1612150437,128000,6,미국,700,45.75
47,47,더 글렌리벳 나두라,http://www.kajawine.kr/shop/item.php?it_id=9345777346,230000,18,스코틀랜드-스페이사이드,700,55.7
48,48,라가불린 16년 : ,http://www.kajawine.kr/shop/item.php?it_id=1420593638,220000,16,스코틀랜드-아일라섬,750,43.0
49,49,더글렌리벳15년 1리터 ,http://www.kajawine.kr/shop/item.php?it_id=6397497912,180000,15,스코틀랜드-스페이사이드,700,40.0
50,50,스칼리웩,http://www.kajawine.kr/shop/item.php?it_id=1611886920,130000,12,미국,700,46.0
51,51,써에드워드스모키  ,http://www.kajawine.kr/shop/item.php?it_id=1674874791,27000,12,프랑스,700,40.0
52,52,조니워커 블랙 ,http://www.kajawine.kr/shop/item.php?it_id=1070600218,49000,12,영국,700,40.0
