,id,prod_name,winery,wine_type,score,price,flavor1,flavor2,prod_link
0,2754191,Stonehorse Shiraz 2004,Kaesler,Red wine,4.0,48599,"plum, blackberry, dark ...",0,https://www.vivino.com/kaesler-wines-and-vineyard-stonehorse-shiraz/w/87516?year=2004&price_id=2754191
1,2754201,Barolo Cerequio 2001,Michele Chiarlo,Red wine,4.4,116638,,0,https://www.vivino.com/michele-chiarlo-barolo-cerequio/w/86578?year=2001&price_id=2754201
2,2754206,Select Shiraz 2001,Saxenburg,Red wine,4.5,141748,"tobacco, oak, vanilla",0,https://www.vivino.com/saxenburg-select-shiraz/w/1521195?year=2001&price_id=2754206
3,2754212,Sauvignon Blanc 2014,Cloudy Bay,White wine,4.1,48599,"citrus, grapefruit, lim...",0,https://www.vivino.com/cloudy-bay-marlborough-sauvignon-blanc/w/18978?year=2014&price_id=2754212
4,2754226,Montes Alpha M Red 2006,Montes,Red wine,4.4,129598,,0,https://www.vivino.com/montes-casablanca-valley-montes-alpha-m-red/w/1664699?year=2006&price_id=2754226
5,2754229,Brunello di Montalcino 2002,Banfi,Red wine,4.2,115423,,0,https://www.vivino.com/banfi-brunello-di-montalcino/w/22917?year=2002&price_id=2754229
6,2754232,Amon-Ra Shiraz 2005,Glaetzer,Red wine,4.5,141748,"blackberry, blackcurran...",0,https://www.vivino.com/glaetzer-amon-ra-shiraz/w/1160689?year=2005&price_id=2754232
7,2754242,President's Selection Shiraz 2005,Wolf Blass,Red wine,3.8,51839,,0,https://www.vivino.com/wolf-blass-president-s-selection-shiraz/w/1130082?year=2005&price_id=2754242
8,2754247,M3 Chardonnay 2006,Shaw + Smith,White wine,4.0,54674,"oak, butter, vanilla",0,https://www.vivino.com/shaw-smith-m3-chardonnay/w/31564?year=2006&price_id=2754247
9,2754248,Cabernet Sauvignon 2005,Croze,Red wine,4.1,80999,"oak, vanilla, chocolate",0,https://www.vivino.com/us-croze-cabernet-sauvignon/w/1530459?year=2005&price_id=2754248
